aileron,elevator,rudder,flaps,slats,speedbrake,throttle,throttle,engine-pump,engine-pump,electric-pump,electric-pump,external-power,APU-generator,latitude-deg,longitude-deg,altitude-ft,roll-deg,pitch-deg,heading-deg,side-slip-deg,airspeed-kt,glideslope,vertical-speed-fps,airspeed-indicator_indicated-speed-kt,altimeter_indicated-altitude-ft,altimeter_pressure-alt-ft,attitude-indicator_indicated-pitch-deg,attitude-indicator_indicated-roll-deg,attitude-indicator_internal-pitch-deg,attitude-indicator_internal-roll-deg,encoder_indicated-altitude-ft,encoder_pressure-alt-ft,gps_indicated-altitude-ft,gps_indicated-ground-speed-kt,gps_indicated-vertical-speed,indicated-heading-deg,magnetic-compass_indicated-heading-deg,slip-skid-ball_indicated-slip-skid,turn-indicator_indicated-turn-rate,vertical-speed-indicator_indicated-speed-fpm,engine_rpm
0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.98504421,-22.59248365,-9999,0,0.424,270.021362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.98504421,-22.59248365,-9999,0,0.424,270.021362,0,0,0,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.99183534,-22.60542555,-9999,0,0.424,180.018387,0,0,0,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.99183534,-22.60542555,-9999,0,0.424,180.018387,0,0,0,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.99183534,-22.60542555,-9999,0,0.424,180.018387,0,0,0,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.99183534,-22.60542555,-9999,0,0.424,180.018387,0,0,0,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.99183534,-22.60542555,-9999,0,0.424,180.018387,0,0,0,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.99183534,-22.60542555,-9999,0,0.424,180.018387,0,0,0,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.99183534,-22.60542555,-9999,0,0.424,180.018387,0,0,0,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.99183534,-22.60542555,-9999,0,0.424,180.018387,0,0,0,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.99183534,-22.60542555,-9999,0,0.424,180.018387,0,0,0,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.99183534,-22.60542555,-9999,0,0.424,180.018387,0,0,0,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.99183534,-22.60542555,-9999,0,0.424,180.018387,0,0,0,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.99183534,-22.60542555,-9999,0,0.424,180.018387,0,0,0,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.99183534,-22.60542555,-9999,0,0.424,180.018387,0,0,0,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.99183534,-22.60542555,-9999,0,0.424,180.018387,0,0,0,0,0,389.088776,1.193444,12,40,0,0,0,0,0,0,0,283.232513,0,0,0,0,0
